,unit_key,อำเภอ,ตำบล,หน่วย,ชื่อผู้สมัคร,พรรค,คะแนน
0,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายภาคภูมิ โภคทรัพย์,ประชาธิปัตย์,17
1,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายพีรภัทร ทองธีรสกุล,เพื่อไทย,43
2,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายธนายุทธ ยืนยั่ง,ประชาชน,351
3,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นางสุทธิลักษณ์ ยายิรัมย์,รวมไทยสร้างชาติ,9
4,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายสนอง เทพอักษรณรงค์,ภูมิใจไทย,192
5,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายวิเชียร ลานทอง,ประชากรไทย,6
6,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายนาท ฉัพพรรณธนกูร,กล้าธรรม,2
7,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายอิทธิพัทธ์ ภักดีเนติพันธุ์,เศรษฐกิจ,11
8,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายภาคภูมิ โภคทรัพย์,ประชาธิปัตย์,12
9,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายพีรภัทร ทองธีรสกุล,เพื่อไทย,37
10,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายธนายุทธ ยืนยั่ง,ประชาชน,352
11,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นางสุทธิลักษณ์ ยายิรัมย์,รวมไทยสร้างชาติ,18
12,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายสนอง เทพอักษรณรงค์,ภูมิใจไทย,187
13,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายวิเชียร ลานทอง,ประชากรไทย,11
14,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายนาท ฉัพพรรณธนกูร,กล้าธรรม,8
15,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายอิทธิพัทธ์ ภักดีเนติพันธุ์,เศรษฐกิจ,8
16,district/advance/5-17 เขต 1 จ.บุรีรัมย์_5,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายภาคภูมิ โภคทรัพย์,ประชาธิปัตย์,15
17,district/advance/5-17 เขต 1 จ.บุรีรัมย์_5,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,นายพีรภัทร ทองธีรสกุล,เพื่อไทย,27
