,unit_key,อำเภอ,ตำบล,หน่วย,จำนวนบัตรทั้งหมด,บัตรดี,บัตรเสีย,ไม่เลือกผู้ใด
0,district/advance/5-17 เขต 1 จ.บุรีรัมย์_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,717,631,28,58
1,district/advance/5-17 เขต 1 จ.บุรีรัมย์_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,320,633,25,62
2,district/advance/5-17 เขต 1 จ.บุรีรัมย์_5,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,773,644,15,514
3,district/advance/5-17 เขต 1 จ.บุรีรัมย์_7,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,712,630,2423,59
4,district/advance/5-17 เขต 1 จ.บุรีรัมย์_9,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,715,649,15,31
5,district/advance/5-17 เขต 1 จ.บุรีรัมย์_11,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,716,629,34,55
6,district/advance/5-17 เขต 1 จ.บุรีรัมย์_13,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,1432,649,22,45
7,district/advance/5-17 เขต 1 จ.บุรีรัมย์_15,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,716,616,32,67
8,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_1,อำเภอบ้านด่าน,ตำบลบ้านด่าน,1,880,562,29,13
9,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_3,อำเภอบ้านด่าน,ตำบลบ้านด่าน,2,520,303,29,10
10,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_5,อำเภอบ้านด่าน,ตำบลบ้านด่าน,3,500,309,16,7
11,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_7,อำเภอบ้านด่าน,ตำบลบ้านด่าน,4,570,329,21,11
12,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_9,อำเภอบ้านด่าน,ตำบลบ้านด่าน,5,360,256,11,7
13,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_11,อำเภอบ้านด่าน,ตำบลบ้านด่าน,6,380,242,12,11
14,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_13,อำเภอบ้านด่าน,ตำบลบ้านด่าน,7,440,284,13,10
15,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_15,อำเภอบ้านด่าน,ตำบลบ้านด่าน,8,460,301,278,16
16,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_17,อำเภอบ้านด่าน,ตำบลบ้านด่าน,9,620,378,14,5
17,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_19,อำเภอบ้านด่าน,ตำบลบ้านด่าน,10,300,170,11,3
18,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_21,อำเภอบ้านด่าน,ตำบลบ้านด่าน,11,280,205,196,0
19,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_23,อำเภอบ้านด่าน,ตำบลบ้านด่าน,12,440,276,16,5
20,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_25,อำเภอบ้านด่าน,ตำบลบ้านด่าน,13,680,407,28,10
21,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_27,อำเภอบ้านด่าน,ตำบลบ้านด่าน,14,620,317,19,14
22,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_29,อำเภอบ้านด่าน,ตำบลบ้านด่าน,15,380,225,10,0
23,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_31,อำเภอบ้านด่าน,ตำบลบ้านด่าน,16,380,283,451,36
24,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_33,อำเภอบ้านด่าน,ตำบลบ้านด่าน,17,220,121,10,3
25,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_35,อำเภอบ้านด่าน,ตำบลบ้านด่าน,18,200,134,5,1
26,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_37,อำเภอบ้านด่าน,ตำบลบ้านด่าน,19,700,382,22,13
27,district/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_39,อำเภอบ้านด่าน,ตำบลบ้านด่าน,20,300,168,14,428
28,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_1,อำเภอบ้านด่าน,ตำบลปราสาท,1,400,256,24,7
29,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_3,อำเภอบ้านด่าน,ตำบลปราสาท,2,620,341,25,9
30,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_5,อำเภอบ้านด่าน,ตำบลปราสาท,3,360,210,15,2
31,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_7,อำเภอบ้านด่าน,ตำบลปราสาท,4,540,249,24,4
32,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_9,อำเภอบ้านด่าน,ตำบลปราสาท,5,240,119,9,0
33,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_11,อำเภอบ้านด่าน,ตำบลปราสาท,6,200,137,1,1
34,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_13,อำเภอบ้านด่าน,ตำบลปราสาท,7,420,197,22,1
35,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_15,อำเภอบ้านด่าน,ตำบลปราสาท,8,540,286,32,5
36,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_17,อำเภอบ้านด่าน,ตำบลปราสาท,9,500,272,17,0
37,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_19,อำเภอบ้านด่าน,ตำบลปราสาท,10,820,435,26,6
38,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_21,อำเภอบ้านด่าน,ตำบลปราสาท,11,480,295,11,11
39,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_23,อำเภอบ้านด่าน,ตำบลปราสาท,12,340,161,16,5
40,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_25,อำเภอบ้านด่าน,ตำบลปราสาท,13,420,259,12,3
41,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_27,อำเภอบ้านด่าน,ตำบลปราสาท,14,360,208,14,1
42,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_29,อำเภอบ้านด่าน,ตำบลปราสาท,15,360,22,9,1
43,district/ontime/อำเภอบ้านด่าน/ตำบลปราสาท_31,อำเภอบ้านด่าน,ตำบลปราสาท,16,260,150,7,2
44,district/ontime/อำเภอเมืองบุรีรัมย์/ตำบลถลุงเหล็ก_1,อำเภอเมืองบุรีรัมย์,ตำบลถลุงเหล็ก,1,360,202,2,4
45,district/ontime/อำเภอเมืองบุรีรัมย์/ตำบลถลุงเหล็ก_3,อำเภอเมืองบุรีรัมย์,ตำบลถลุงเหล็ก,2,320,176,5,1
46,district/ontime/อำเภอเมืองบุรีรัมย์/ตำบลถลุงเหล็ก_5,อำเภอเมืองบุรีรัมย์,ตำบลถลุงเหล็ก,3,240,152,3,1
47,district/ontime/อำเภอเมืองบุรีรัมย์/ตำบลถลุงเหล็ก_7,อำเภอเมืองบุรีรัมย์,ตำบลถลุงเหล็ก,4,470,252,8,2
48,district/ontime/อำเภอเมืองบุรีรัมย์/ตำบลถลุงเหล็ก_9,อำเภอเมืองบุรีรัมย์,ตำบลถลุงเหล็ก,5,220,130,3,2
