,unit_key,อำเภอ,ตำบล,หน่วย,พรรค,คะแนน
0,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยทรัพย์ทวี,0
1,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เพื่อชาติไทย,5
2,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ใหม่,2
3,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,มิติใหม่,0
4,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,รวมใจไทย,0
5,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,รวมไทยสร้างชาติ,5
6,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พลวัต,1
7,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชาธิปไตยใหม่,0
8,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เพื่อไทย,38
9,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ทางเลือกใหม่,2
10,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เศรษฐกิจ,14
11,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เสรีรวมไทย,0
12,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,รวมพลังประชาชน,1
13,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ท้องที่ไทย,0
14,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,อนาคตไทย,1
15,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พลังเพื่อไทย,0
16,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยชนะ,0
17,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พลังสังคมใหม่,1
18,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,สังคมประชาธิปไตยไทย,0
19,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ฟิวชัน,0
20,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทรวมพลัง,0
21,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ก้าวอิสระ,0
22,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ปวงชนไทย,0
23,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,วิชชั่นใหม่,0
24,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เพื่อชีวิตใหม่,0
25,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,คลองไทย,0
26,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชาธิปัตย์,6
27,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยก้าวหน้า,1
28,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยภักดี,3
29,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,แรงงานสร้างชาติ,0
30,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชากรไทย,0
31,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ครูไทยเพื่อประชาชน,0
32,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชาชาติ,1
33,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,สร้างอนาคตไทย,0
34,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,รักชาติ,1
35,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยพร้อม,0
36,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ภูมิใจไทย,181
37,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พลังธรรมใหม่,1
38,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,กรีน,0
39,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยธรรม,0
40,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,แผ่นดินธรรม,0
41,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,กล้าธรรม,1
42,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พลังประชารัฐ,0
43,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,โอกาสใหม่,1
44,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เป็นธรรม,0
45,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชาชน,409
46,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชาไทย,1
47,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยสร้างไทย,3
48,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยก้าวใหม่,2
49,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ประชาอาสาชาติ,0
50,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พร้อม,1
51,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เครือข่ายชาวนาแห่งประเทศไทย,0
52,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยพิทักษ์ธรรม,0
53,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ความหวังใหม่,0
54,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,ไทยรวมไทย,0
55,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,เพื่อบ้านเมือง,0
56,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,1,พลังไทยรักชาติ,0
57,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,ไทยทรัพย์ทวี,1
58,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,เพื่อชาติไทย,1
59,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,ใหม่,1
60,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,มิติใหม่,0
61,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,รวมใจไทย,3
62,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,รวมไทยสร้างชาติ,7
63,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,พลวัต,0
64,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,ประชาธิปไตยใหม่,1
65,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,เพื่อไทย,47
66,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,ทางเลือกใหม่,1
67,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,เศรษฐกิจ,4
68,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,เสรีรวมไทย,2
69,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,รวมพลังประชาชน,4
70,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,ท้องที่ไทย,0
71,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,อนาคตไทย,1
72,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,5,พลังเพื่อไทย,0
