,unit_key,อำเภอ,ตำบล,หน่วย,จำนวนบัตรทั้งหมด,บัตรดี,บัตรเสีย,ไม่เลือกผู้ใด
0,partylist/advance/5-17(บช)_1,นอกเขต,นอกเขต,ไม่ทราบ,213,642,11,24
1,partylist/advance/5-17(บช)_5,นอกเขต,นอกเขต,ไม่ทราบ,320,692,6,22
2,partylist/advance/5-17(บช)_9,นอกเขต,นอกเขต,ไม่ทราบ,773,611,4,18
3,partylist/advance/5-17(บช)_13,นอกเขต,นอกเขต,ไม่ทราบ,713,680,7,13
4,partylist/advance/5-17(บช)_17,นอกเขต,นอกเขต,ไม่ทราบ,715,695,6,14
5,partylist/advance/5-17(บช)_21,นอกเขต,นอกเขต,ไม่ทราบ,716,696,3,17
6,partylist/advance/5-17(บช)_25,นอกเขต,นอกเขต,ไม่ทราบ,1432,693,2,21
7,partylist/advance/5-17(บช)_29,นอกเขต,นอกเขต,ไม่ทราบ,716,689,3,24
8,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_1,อำเภอบ้านด่าน,ตำบลบ้านด่าน,1,880,573,27,4
9,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_5,อำเภอบ้านด่าน,ตำบลบ้านด่าน,2,520,307,34,1
10,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_9,อำเภอบ้านด่าน,ตำบลบ้านด่าน,3,500,311,17,4
11,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_13,อำเภอบ้านด่าน,ตำบลบ้านด่าน,4,580,338,18,5
12,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_17,อำเภอบ้านด่าน,ตำบลบ้านด่าน,5,360,251,18,5
13,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_21,อำเภอบ้านด่าน,ตำบลบ้านด่าน,6,380,246,14,5
14,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_25,อำเภอบ้านด่าน,ตำบลบ้านด่าน,7,440,287,15,5
15,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_29,อำเภอบ้านด่าน,ตำบลบ้านด่าน,8,460,280,17,4
16,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_33,อำเภอบ้านด่าน,ตำบลบ้านด่าน,9,620,383,12,2
17,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_37,อำเภอบ้านด่าน,ตำบลบ้านด่าน,10,300,169,12,3
18,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_41,อำเภอบ้านด่าน,ตำบลบ้านด่าน,11,280,196,9,0
19,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_45,อำเภอบ้านด่าน,ตำบลบ้านด่าน,12,440,297,715,4
20,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_49,อำเภอบ้านด่าน,ตำบลบ้านด่าน,13,680,398,43,4
21,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_53,อำเภอบ้านด่าน,ตำบลบ้านด่าน,14,620,319,28,3
22,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_57,อำเภอบ้านด่าน,ตำบลบ้านด่าน,15,380,219,16,0
23,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_61,อำเภอบ้านด่าน,ตำบลบ้านด่าน,16,380,233,15,3
24,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_65,อำเภอบ้านด่าน,ตำบลบ้านด่าน,17,220,130,4,0
25,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_69,อำเภอบ้านด่าน,ตำบลบ้านด่าน,18,200,138,4,2
26,partylist/ontime/อำเภอบ้านด่าน/ตำบลบ้านด่าน_73,อำเภอบ้านด่าน,ตำบลบ้านด่าน,19,700,390,19,8
