,unit_key,อำเภอ,ตำบล,หน่วย,รายการ,คะแนน
0,referendum/outside/อส 4-7 นอกเขตออกเสียง_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,เห็นชอบ,415
1,referendum/outside/อส 4-7 นอกเขตออกเสียง_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,ไม่เห็นชอบ,158
2,referendum/outside/อส 4-7 นอกเขตออกเสียง_1,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,ไม่แสดงความคิดเห็น,17
3,referendum/outside/อส 4-7 นอกเขตออกเสียง_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,เห็นชอบ,459
4,referendum/outside/อส 4-7 นอกเขตออกเสียง_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,ไม่เห็นชอบ,95
5,referendum/outside/อส 4-7 นอกเขตออกเสียง_3,ไม่ทราบ,ไม่ทราบ,ไม่ทราบ,ไม่แสดงความคิดเห็น,10
6,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_1,อำเภอบ้านด่าน,ตำบลบ้านด่าน,1,เห็นชอบ,355
7,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_1,อำเภอบ้านด่าน,ตำบลบ้านด่าน,1,ไม่เห็นชอบ,286
8,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_1,อำเภอบ้านด่าน,ตำบลบ้านด่าน,1,ไม่แสดงความคิดเห็น,36
9,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_3,อำเภอบ้านด่าน,ตำบลบ้านด่าน,2,เห็นชอบ,163
10,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_3,อำเภอบ้านด่าน,ตำบลบ้านด่าน,2,ไม่เห็นชอบ,131
11,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_3,อำเภอบ้านด่าน,ตำบลบ้านด่าน,2,ไม่แสดงความคิดเห็น,31
12,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_5,อำเภอบ้านด่าน,ตำบลบ้านด่าน,3,เห็นชอบ,139
13,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_5,อำเภอบ้านด่าน,ตำบลบ้านด่าน,3,ไม่เห็นชอบ,145
14,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_5,อำเภอบ้านด่าน,ตำบลบ้านด่าน,3,ไม่แสดงความคิดเห็น,35
15,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_7,อำเภอบ้านด่าน,ตำบลบ้านด่าน,4,เห็นชอบ,166
16,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_7,อำเภอบ้านด่าน,ตำบลบ้านด่าน,4,ไม่เห็นชอบ,137
17,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_7,อำเภอบ้านด่าน,ตำบลบ้านด่าน,4,ไม่แสดงความคิดเห็น,36
18,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_9,อำเภอบ้านด่าน,ตำบลบ้านด่าน,5,เห็นชอบ,111
19,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_9,อำเภอบ้านด่าน,ตำบลบ้านด่าน,5,ไม่เห็นชอบ,271
20,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_9,อำเภอบ้านด่าน,ตำบลบ้านด่าน,5,ไม่แสดงความคิดเห็น,8
21,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_11,อำเภอบ้านด่าน,ตำบลบ้านด่าน,6,เห็นชอบ,161
22,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_11,อำเภอบ้านด่าน,ตำบลบ้านด่าน,6,ไม่เห็นชอบ,83
23,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_11,อำเภอบ้านด่าน,ตำบลบ้านด่าน,6,ไม่แสดงความคิดเห็น,18
24,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_13,อำเภอบ้านด่าน,ตำบลบ้านด่าน,7,เห็นชอบ,141
25,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_13,อำเภอบ้านด่าน,ตำบลบ้านด่าน,7,ไม่เห็นชอบ,130
26,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_13,อำเภอบ้านด่าน,ตำบลบ้านด่าน,7,ไม่แสดงความคิดเห็น,26
27,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_15,อำเภอบ้านด่าน,ตำบลบ้านด่าน,8,เห็นชอบ,151
28,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_15,อำเภอบ้านด่าน,ตำบลบ้านด่าน,8,ไม่เห็นชอบ,106
29,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_15,อำเภอบ้านด่าน,ตำบลบ้านด่าน,8,ไม่แสดงความคิดเห็น,35
30,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_17,อำเภอบ้านด่าน,ตำบลบ้านด่าน,9,เห็นชอบ,169
31,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_17,อำเภอบ้านด่าน,ตำบลบ้านด่าน,9,ไม่เห็นชอบ,181
32,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_17,อำเภอบ้านด่าน,ตำบลบ้านด่าน,9,ไม่แสดงความคิดเห็น,35
33,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_19,อำเภอบ้านด่าน,ตำบลบ้านด่าน,10,เห็นชอบ,95
34,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_19,อำเภอบ้านด่าน,ตำบลบ้านด่าน,10,ไม่เห็นชอบ,66
35,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_19,อำเภอบ้านด่าน,ตำบลบ้านด่าน,10,ไม่แสดงความคิดเห็น,15
36,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_21,อำเภอบ้านด่าน,ตำบลบ้านด่าน,11,เห็นชอบ,103
37,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_21,อำเภอบ้านด่าน,ตำบลบ้านด่าน,11,ไม่เห็นชอบ,84
38,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_21,อำเภอบ้านด่าน,ตำบลบ้านด่าน,11,ไม่แสดงความคิดเห็น,14
39,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_23,อำเภอบ้านด่าน,ตำบลบ้านด่าน,12,เห็นชอบ,133
40,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_23,อำเภอบ้านด่าน,ตำบลบ้านด่าน,12,ไม่เห็นชอบ,126
41,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_23,อำเภอบ้านด่าน,ตำบลบ้านด่าน,12,ไม่แสดงความคิดเห็น,34
42,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_25,อำเภอบ้านด่าน,ตำบลบ้านด่าน,13,เห็นชอบ,250
43,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_25,อำเภอบ้านด่าน,ตำบลบ้านด่าน,13,ไม่เห็นชอบ,142
44,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_25,อำเภอบ้านด่าน,ตำบลบ้านด่าน,13,ไม่แสดงความคิดเห็น,31
45,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_27,อำเภอบ้านด่าน,ตำบลบ้านด่าน,14,เห็นชอบ,137
46,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_27,อำเภอบ้านด่าน,ตำบลบ้านด่าน,14,ไม่เห็นชอบ,136
47,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_27,อำเภอบ้านด่าน,ตำบลบ้านด่าน,14,ไม่แสดงความคิดเห็น,63
48,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_29,อำเภอบ้านด่าน,ตำบลบ้านด่าน,15,เห็นชอบ,2113
49,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_29,อำเภอบ้านด่าน,ตำบลบ้านด่าน,15,ไม่เห็นชอบ,101
50,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_29,อำเภอบ้านด่าน,ตำบลบ้านด่าน,15,ไม่แสดงความคิดเห็น,9
51,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_31,อำเภอบ้านด่าน,ตำบลบ้านด่าน,16,เห็นชอบ,125
52,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_31,อำเภอบ้านด่าน,ตำบลบ้านด่าน,16,ไม่เห็นชอบ,89
53,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_31,อำเภอบ้านด่าน,ตำบลบ้านด่าน,16,ไม่แสดงความคิดเห็น,26
54,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_33,อำเภอบ้านด่าน,ตำบลบ้านด่าน,17,เห็นชอบ,61
55,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_33,อำเภอบ้านด่าน,ตำบลบ้านด่าน,17,ไม่เห็นชอบ,50
56,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_33,อำเภอบ้านด่าน,ตำบลบ้านด่าน,17,ไม่แสดงความคิดเห็น,19
57,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_35,อำเภอบ้านด่าน,ตำบลบ้านด่าน,18,เห็นชอบ,58
58,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_35,อำเภอบ้านด่าน,ตำบลบ้านด่าน,18,ไม่เห็นชอบ,59
59,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_35,อำเภอบ้านด่าน,ตำบลบ้านด่าน,18,ไม่แสดงความคิดเห็น,22
60,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_37,อำเภอบ้านด่าน,ตำบลบ้านด่าน,19,เห็นชอบ,225
61,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_37,อำเภอบ้านด่าน,ตำบลบ้านด่าน,19,ไม่เห็นชอบ,129
62,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_37,อำเภอบ้านด่าน,ตำบลบ้านด่าน,19,ไม่แสดงความคิดเห็น,36
63,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_39,อำเภอบ้านด่าน,ตำบลบ้านด่าน,20,เห็นชอบ,83
64,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_39,อำเภอบ้านด่าน,ตำบลบ้านด่าน,20,ไม่เห็นชอบ,82
65,referendum/inside/อำเภอบ้านด่าน/ตำบลบ้านด่าน_39,อำเภอบ้านด่าน,ตำบลบ้านด่าน,20,ไม่แสดงความคิดเห็น,17
66,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_1,อำเภอบ้านด่าน,ตำบลปราสาท,1,เห็นชอบ,155
67,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_1,อำเภอบ้านด่าน,ตำบลปราสาท,1,ไม่เห็นชอบ,91
68,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_1,อำเภอบ้านด่าน,ตำบลปราสาท,1,ไม่แสดงความคิดเห็น,27
69,referendum/inside/อำเภอบ้านด่าน/ตำบลปราสาท_3,อำเภอบ้านด่าน,ตำบลปราสาท,2,เห็นชอบ,184
